customer_id,creature_type,flight_status,dance_disaster_rating,ticklish_level,eyesight,age,number_of_policies,fire_power_level,soda_likeness_rate,snack_obsession,creature_cost,hearing_score,rage_outburst_score
CUST_0026,Yeti,Yes,6,6,7,25,20,3,15,8,510,0.1641612186205771,5.400154824144751
CUST_0027,Griffin,No,0,5,1,5,15,0,14,3,360,1.4990030396883869,2.509477824169531
CUST_0028,Dragon,Yes,4,8,4,65,2,9,0,3,401,-0.509881855,1.3632158844422788
CUST_0029,Unicorn,No,6,6,2,35,10,1,12,2,856,0.9580833136808096,1.7683610317332623
CUST_0030,Unicorn,No,4,9,1,12,12,0,13,7,410,-0.346546061,5.8677570937370245
CUST_0031,Unicorn,No,8,5,10,1,3,1,18,3,249,-0.623769685,7.300122983156012
CUST_0032,Unicorn,Yes,7,4,1,20,8,3,15,3,181,-0.922072521,1.1077314386935295
CUST_0033,Unicorn,No,3,4,9,7,9,1,10,6,779,0.8456331539737231,2.3974704814614443
CUST_0034,Yeti,No,3,2,4,11,10,0,1,4,462,-0.50873596,3.826821577914334
CUST_0035,Yeti,Yes,3,8,5,85,3,3,1,9,536,1.4886556058965252,4.274917165634656
CUST_0036,Ciclope,No,5,5,8,54,19,6,6,3,292,-0.556231026,0.8363154908211806
CUST_0037,Ciclope,Yes,3,3,5,38,8,5,13,6,361,0.4711907203938528,2.852117837912134
CUST_0038,Unicorn,Yes,7,4,8,59,9,1,1,7,50,-1.042691117,0.6078236963531917
CUST_0039,Yeti,Yes,8,7,10,17,9,0,15,9,566,-0.217717933,3.4900911032396067
CUST_0040,Ciclope,No,3,7,9,12,13,9,17,4,1202,0.079003796,0.7442143536602588
CUST_0041,Dragon,Yes,0,4,8,25,6,5,3,4,290,0.1199139838749563,1.0616784697160755
CUST_0042,Unicorn,Yes,2,5,3,1,17,3,13,3,537,1.4872535235485966,3.9544319038693327
CUST_0043,Yeti,No,3,5,6,5,13,2,7,5,511,-0.317991823,3.899332261686399
CUST_0044,Ciclope,Yes,3,9,8,66,4,6,13,8,50,-1.919421691,3.148936267369977
CUST_0045,Ciclope,No,7,7,7,73,18,5,2,4,50,0.1835030342010924,7.361138267632791
CUST_0046,Dragon,Yes,5,4,3,9,6,5,19,4,260,-1.071403111,2.527817897520674
CUST_0047,Dragon,No,3,5,2,17,19,5,14,5,553,-0.55059991,2.4677811991247203
CUST_0048,Yeti,Yes,4,7,7,8,2,3,9,7,439,-0.713774594,6.264288877409671
CUST_0049,Griffin,No,7,4,8,5,5,0,5,6,253,1.674051337,0.4474348333448603
CUST_0050,Griffin,Yes,6,7,6,53,3,0,17,2,193,1.3209044470554892,4.100014031115872
CUST_0051,Unicorn,Yes,7,2,4,17,18,0,20,6,50,-1.959675762,3.9250912813788346
CUST_0052,Unicorn,No,6,5,7,15,18,1,13,2,646,-1.566099953,2.980527895680507
CUST_0053,Griffin,Yes,8,2,6,500,12,0,14,6,319,0.3760949660335341,5.2148479058117845
CUST_0054,Griffin,No,6,5,10,14,20,0,5,8,1042,1.278352601590462,4.034934232054325
CUST_0055,Dragon,Yes,8,5,2,16,17,9,19,8,659,0.4705846151509588,1.1819280069008722
CUST_0056,Dragon,No,6,2,8,24,9,6,12,7,241,-0.041503888,5.533079496581484
CUST_0057,Yeti,No,5,3,6,51,4,1,4,6,820,-1.045806745,12.30885754955442
CUST_0058,Unicorn,No,2,5,6,32,14,3,19,4,361,0.4321510087869754,2.950193648049272
CUST_0059,Unicorn,No,2,5,7,82,18,0,8,6,876,0.1445523131927664,9.905394691870724
CUST_0060,Griffin,Yes,4,5,1,4,13,1,10,5,596,-1.276541092,7.571872707155861
CUST_0061,Dragon,Yes,3,4,5,7,12,5,15,3,205,-0.144645039,1.9988849000739368
CUST_0062,Griffin,No,5,3,8,33,13,3,11,8,252,0.8704334283821108,1.303610243367239
CUST_0063,Yeti,Yes,2,4,7,5,20,1,13,7,742,-0.618970621,1.5906758576246298
CUST_0064,Unicorn,Yes,5,5,9,24,12,2,8,5,382,1.2843080394619724,2.384429129785604
CUST_0065,Ciclope,Yes,2,6,10,11,16,8,1,4,346,0.3148203732460623,3.037820780704324
CUST_0066,Dragon,No,2,5,1,12,7,8,1,1,485,0.558335348,2.169113392374584
CUST_0067,Dragon,Yes,3,5,3,1,13,6,20,4,623,-0.29503749,6.000786546867666
CUST_0068,Yeti,No,3,3,6,7,13,0,17,4,843,1.2391505515789194,2.581989659929484
CUST_0069,Yeti,Yes,3,1,5,9,16,0,16,7,186,-1.882394692,2.451745255
CUST_0070,Griffin,Yes,5,6,10,37,15,0,14,2,656,-1.069862295,8.24188433
CUST_0071,Ciclope,No,6,5,8,18,13,9,6,5,924,-0.517759666,3.111955515170107
CUST_0072,Dragon,No,3,2,3,6,8,6,13,7,484,0.387797071,3.166904638525136
CUST_0073,Dragon,No,2,3,5,78,5,8,2,6,70,0.083027866,2.286574811
CUST_0074,Unicorn,Yes,6,5,10,18,16,3,7,4,653,-0.813645069,3.729728349908776
CUST_0075,Dragon,Yes,1,5,9,23,16,5,0,4,1070,0.2925018115806913,3.752230235843345
CUST_0076,Unicorn,Yes,3,5,8,97,6,3,14,6,718,0.1545295288931393,2.1884669391179963
CUST_0077,Ciclope,No,3,6,4,1,2,5,14,6,438,-0.607788345,1.4428156436243134
CUST_0078,Yeti,Yes,6,4,3,22,3,1,13,8,656,0.93813298,3.7740584255115897
CUST_0079,Ciclope,Yes,9,2,7,6,6,9,2,5,408,1.4339419210483826,1.4305313913382631
CUST_0080,Ciclope,No,2,5,9,14,9,5,15,0,866,-0.246202337,2.636347506317497
CUST_0081,Yeti,Yes,7,3,2,8,15,3,10,5,325,-1.367535172,2.710164641542611
CUST_0082,Griffin,No,3,3,3,8,12,2,17,7,491,1.5117867986516234,4.680909797102167
CUST_0083,Ciclope,No,5,8,2,15,12,5,18,7,394,2.369246548158256,0.9810096332965904
CUST_0084,Griffin,Yes,7,3,9,6,18,0,2,3,1096,-0.009825595,6.383548771283061
CUST_0085,Yeti,Yes,5,7,2,29,19,1,20,4,459,-0.404827845,5.116746156160031
CUST_0086,Ciclope,Yes,7,5,4,14,11,5,4,5,618,-1.200267654,1.112808155354812
CUST_0087,Griffin,Yes,4,5,4,32,6,1,9,4,786,0.007177784,1.7922791268210612
CUST_0088,Dragon,Yes,0,6,8,10,13,6,6,3,519,0.6274486572745374,1.6506820280438443
CUST_0089,Yeti,No,8,4,6,23,5,0,1,10,1053,0.3828054802381143,1.777368437217055
CUST_0090,Griffin,Yes,4,9,5,27,17,1,0,2,383,1.1016633372597648,0.8078603807356459
CUST_0091,Dragon,Yes,4,8,10,32,19,5,12,6,935,1.209971713662313,2.839680443831179
CUST_0092,Unicorn,Yes,3,5,10,30,5,1,15,3,605,-0.138318954,4.240311182704895
CUST_0093,Unicorn,No,5,5,4,97,16,1,8,4,711,1.268815684290879,3.4014487949097174
CUST_0094,Griffin,Yes,4,4,8,57,7,0,8,6,961,1.0503192559233483,2.879616693862653
CUST_0095,Griffin,Yes,2,2,3,69,16,2,10,4,747,0.340630997,1.3014470646317615
CUST_0096,Dragon,No,6,3,1,82,16,5,9,5,1053,-0.095427698,1.8747444995564857
CUST_0097,Yeti,Yes,5,5,5,11,6,2,0,6,396,-1.762541706,3.2161873439683246
CUST_0098,Ciclope,No,4,6,3,97,8,5,8,6,487,-0.241487108,2.2330225469775224
CUST_0099,Dragon,No,3,6,5,49,10,5,15,6,538,1.361967693697305,3.893621327675652
CUST_0100,Yeti,No,6,6,10,14,3,3,16,7,50,1.1847751357400136,2.1777334430411663
CUST_0101,Yeti,Yes,6,2,3,20,2,1,0,4,306,1.1198838265349822,1.464350793378614
CUST_0102,Dragon,Yes,8,9,8,5,5,7,13,2,735,1.4948270411254148,1.9712309789832407
CUST_0103,Yeti,Yes,5,9,7,24,8,2,14,5,384,-1.111893521,1.6327907800015553
CUST_0104,Unicorn,Yes,7,2,7,442,1,2,14,2,139,-0.898621394,1.0124353982509116
CUST_0105,Griffin,No,5,9,4,151,11,1,7,4,337,0.5269410207888727,4.942416420645061
CUST_0106,Yeti,No,7,4,8,6,13,3,4,6,278,0.6064207306142525,5.264907188331003
CUST_0107,Griffin,No,7,8,9,21,9,0,11,7,303,0.8813781638032091,1.272343721420078
CUST_0108,Dragon,Yes,5,5,8,10,4,6,19,4,50,-0.963102383,3.659211373380949
CUST_0109,Unicorn,Yes,2,5,8,38,7,1,7,4,979,-0.180574264,3.597337172680861
CUST_0110,Griffin,Yes,2,5,6,1,16,1,4,4,889,-1.137546105,8.204641991428465
CUST_0111,Dragon,No,8,2,1,7,8,6,14,3,749,0.9917917931011432,2.6007022027416906
CUST_0112,Dragon,Yes,4,6,9,104,6,7,6,3,529,-0.521388083,3.760846923558681
CUST_0113,Ciclope,Yes,6,6,2,129,2,5,1,2,486,-1.179831321,4.1306501533251465
CUST_0114,Dragon,No,6,7,10,19,3,7,1,6,394,1.7604401513563777,2.6895248172423023
CUST_0115,Ciclope,No,4,5,7,38,13,9,13,5,868,0.3951504651171982,5.844043118197934
CUST_0116,Unicorn,Yes,4,5,6,23,6,2,19,4,1429,0.7219034497569081,4.106374614
CUST_0117,Griffin,No,4,1,5,13,4,0,17,4,630,-0.036464277,5.6090480615680285
CUST_0118,Ciclope,Yes,2,6,9,23,13,7,4,6,768,0.4134734111095854,5.380828069289138
CUST_0119,Griffin,No,2,5,3,9,11,1,20,6,510,-0.08722657,1.2038812311335958
CUST_0120,Ciclope,No,4,5,10,41,9,5,17,6,946,1.5455039071443235,1.191147514207081
CUST_0121,Unicorn,No,8,6,8,8,9,1,2,2,745,0.4246686815008776,4.399775056563714
CUST_0122,Ciclope,Yes,5,7,9,131,4,9,20,3,226,-0.837004688,4.049737915516753
CUST_0123,Ciclope,Yes,6,6,9,27,15,5,16,9,623,2.829777439988604,2.1762245244031044
CUST_0124,Griffin,Yes,3,5,6,18,15,1,3,6,938,0.1296526533867252,7.589988983837666
CUST_0125,Yeti,Yes,6,8,4,79,6,2,19,8,824,-0.732403786,8.468519226838238
CUST_0126,Dragon,Yes,5,4,4,18,16,7,19,4,145,0.3078538582181844,4.518966738834528
CUST_0127,Unicorn,No,2,4,4,13,5,2,12,2,259,0.5369295988423763,4.531789463889301
CUST_0128,Griffin,Yes,6,5,1,19,13,3,15,1,701,0.9678266223652684,4.069562412778167
CUST_0129,Unicorn,Yes,5,6,10,118,18,1,17,5,744,-0.856527651,6.993290874280961
CUST_0130,Ciclope,Yes,6,4,1,17,3,5,7,5,61,1.5841046771709562,1.6565088928056606
CUST_0131,Yeti,Yes,5,2,6,23,6,0,8,9,696,-0.354177143,0.6676208039646873
CUST_0132,Ciclope,No,9,3,3,4,8,8,18,3,471,-1.039307014,0.2070923042772916
CUST_0133,Ciclope,Yes,4,4,8,116,15,5,17,0,1193,1.5734218223272545,1.649562711835609
CUST_0134,Yeti,Yes,2,4,1,1,9,0,20,8,360,0.8665007596057925,12.332028748501394
CUST_0135,Dragon,Yes,3,3,8,17,3,5,3,3,523,1.9019604228189213,6.163025446967813
CUST_0136,Griffin,Yes,2,3,6,56,5,3,6,5,340,0.2384324588876316,1.0307739743769877
CUST_0137,Unicorn,No,5,3,10,31,1,3,16,3,931,-0.402467557,0.8132258115241943
CUST_0138,Griffin,Yes,6,5,9,14,13,3,5,5,729,-2.477620876,3.3641559633857896
CUST_0139,Dragon,No,6,4,9,44,13,5,8,5,404,0.2034596437193755,5.794802254458534
CUST_0140,Yeti,No,6,2,7,262,2,0,5,9,108,1.069949713180315,2.1395033006735105
CUST_0141,Unicorn,Yes,7,4,2,41,3,0,1,2,874,0.003169945,5.478269358536063
CUST_0142,Dragon,Yes,4,7,4,5,5,9,20,3,495,0.4276107103151994,1.7214560504029623
CUST_0143,Unicorn,Yes,4,3,9,5,10,3,14,6,412,0.033499169,7.010655154844801
CUST_0144,Yeti,No,8,6,9,36,1,3,20,9,492,-1.732129061,0.8329114043683191
CUST_0145,Unicorn,Yes,3,5,1,13,8,3,11,1,458,0.4284029696271093,8.93890916
CUST_0146,Yeti,Yes,0,3,5,6,11,1,6,9,807,1.2942006089924023,1.6702698278390995
CUST_0147,Dragon,Yes,6,4,5,42,20,5,2,3,454,-2.55064117,12.653807703214657
CUST_0148,Griffin,Yes,3,6,4,35,2,2,20,5,686,-0.160163496,5.121942901982555
CUST_0149,Griffin,No,4,7,6,13,16,0,6,6,554,-0.436893989,1.875554838
CUST_0150,Unicorn,Yes,6,2,7,9,17,3,11,1,269,0.2220043554870825,3.003062802711728
CUST_0151,Dragon,Yes,5,6,1,54,12,5,3,5,1125,0.742838889,0.4065307102695706
CUST_0152,Griffin,Yes,6,8,3,5,12,3,18,2,467,-0.50073385,1.988050700075488
CUST_0153,Unicorn,Yes,5,5,1,21,20,1,10,6,524,0.2066651124803569,0.9286675771970174
CUST_0154,Unicorn,No,1,4,2,13,6,3,15,4,1010,-0.498673524,0.731090052
CUST_0155,Griffin,No,5,6,5,185,20,0,4,4,231,0.3512743983418488,1.3532583961963798
CUST_0156,Unicorn,Yes,4,2,5,116,2,0,13,3,726,0.042396008,3.680668104656729
CUST_0157,Griffin,Yes,8,4,6,12,11,0,17,10,759,-0.987652004,6.477892584746157
CUST_0158,Ciclope,No,7,3,2,14,18,8,1,3,1042,0.7872736968416828,3.285010921694617
CUST_0159,Yeti,Yes,6,5,2,19,13,1,11,8,616,-0.632823543,1.0784721118401224
CUST_0160,Unicorn,Yes,6,2,6,49,19,2,16,2,876,0.6059119201921098,5.141639967816023
CUST_0161,Dragon,Yes,5,5,9,99,20,5,5,8,436,-0.316347052,4.670299961165941
CUST_0162,Griffin,No,4,8,2,4,18,1,0,5,1158,-1.360223826,4.1549074755546025
CUST_0163,Yeti,Yes,5,2,2,6,19,3,4,4,469,-1.022325312,0.6263319489344321
CUST_0164,Dragon,No,8,1,5,2,4,5,10,4,194,1.0307186065540332,4.855670060419162
CUST_0165,Ciclope,No,7,5,3,9,17,5,7,5,87,0.066454152,2.1681213886561697
CUST_0166,Ciclope,No,5,4,10,1,16,9,8,4,552,-1.528026279,7.6752721243357085
CUST_0167,Griffin,No,3,4,7,23,1,3,0,5,139,1.3506592950987917,1.563430800276341
CUST_0168,Ciclope,No,3,4,9,50,4,5,11,2,553,-0.505526981,3.003062802711728
CUST_0169,Unicorn,No,6,6,5,6,8,2,19,3,321,0.4973640069023908,1.1637179305917824
CUST_0170,Ciclope,Yes,4,9,4,7,18,5,11,1,104,-0.088781886,0.4267609979588965
CUST_0171,Griffin,No,4,8,6,28,8,3,10,3,120,0.9578960449524756,0.882601087
CUST_0172,Yeti,No,8,5,7,21,5,0,18,10,772,-1.832041932,6.079216244426487
CUST_0173,Unicorn,No,6,1,5,2,19,3,2,6,881,0.7746740248164677,9.107609891192649
CUST_0174,Yeti,Yes,4,4,9,3,8,1,9,8,536,1.615935737784391,0.5660044854350604
CUST_0175,Unicorn,Yes,4,9,8,14,13,0,6,4,351,-1.32812771,3.384285442390756
CUST_0176,Unicorn,No,3,2,2,26,4,1,15,4,218,-0.647504122,5.195198425933941
CUST_0177,Yeti,Yes,4,7,2,21,10,0,6,7,399,-1.858181417,6.501707872842418
CUST_0178,Yeti,Yes,6,4,1,4,16,1,3,9,1173,-0.809864622,5.596807924
CUST_0179,Griffin,No,6,6,7,31,2,0,10,3,272,0.8373452603514405,0.6791055802947186
CUST_0180,Griffin,Yes,3,7,8,86,6,0,18,4,694,-0.569499873,0.3134546966791003
CUST_0181,Griffin,Yes,0,4,2,11,17,2,10,1,546,-0.182784413,1.9013751579498408
CUST_0182,Ciclope,Yes,6,5,1,26,16,9,15,4,50,0.8096085133271851,4.668569251893394
CUST_0183,Griffin,Yes,2,2,8,18,16,3,1,4,634,-0.006472598,2.356812974
CUST_0184,Yeti,Yes,3,4,1,5,20,1,3,9,226,0.8428873443128608,1.6023871180079088
CUST_0185,Yeti,Yes,4,3,3,171,14,0,12,7,412,1.8222663145705496,5.166610885501112
CUST_0186,Yeti,Yes,6,5,9,5,17,2,18,4,291,0.1275441611853691,9.149215525882711
CUST_0187,Griffin,Yes,3,4,7,14,8,1,13,1,157,-1.252645966,1.383329177620992
CUST_0188,Yeti,No,5,4,6,6,11,1,18,4,899,-0.636933867,5.709787630533888
CUST_0189,Ciclope,No,4,3,1,2,6,7,19,7,490,-1.209420784,2.8728988784255964
CUST_0190,Unicorn,No,6,4,6,33,15,3,17,4,585,-0.659681205,6.7665949060608535
CUST_0191,Dragon,Yes,6,4,7,12,6,8,4,9,819,0.5705991230350907,2.482421372292148
CUST_0192,Unicorn,Yes,3,6,6,55,17,0,17,3,375,0.5287741345256376,6.313948483647561
CUST_0193,Yeti,Yes,8,9,1,7,8,3,1,6,488,-0.801987392,4.1078051290182005
CUST_0194,Unicorn,Yes,1,5,9,18,7,2,17,2,445,-0.290865099,7.170081139959387
CUST_0195,Dragon,Yes,6,6,7,33,15,6,2,3,50,-0.326160906,1.111685200539319
CUST_0196,Dragon,Yes,5,6,2,57,3,8,9,3,522,-0.50468815,3.080547274880433
CUST_0197,Griffin,Yes,6,6,9,7,10,1,20,1,725,1.7479165859844292,4.947322997922066
CUST_0198,Yeti,Yes,4,3,6,40,6,1,1,9,462,-1.865824619,5.363787206400412
CUST_0199,Dragon,Yes,5,8,6,3,4,8,15,2,874,0.4223946077568961,9.114255078943922
CUST_0200,Unicorn,No,5,6,7,11,11,3,9,4,726,0.039253437,0.2055510786565718
CUST_0201,Yeti,Yes,4,6,1,102,19,1,1,4,81,-0.398883594,15.824680135579529
CUST_0202,Griffin,No,1,3,9,20,17,0,19,3,184,-1.540656724,2.721089193308858
CUST_0203,Griffin,No,3,3,8,10,8,0,11,1,529,1.4458174747031438,1.947759989280081
CUST_0204,Yeti,No,4,5,10,3,12,3,7,5,988,-0.095806439,0.366369346
CUST_0205,Yeti,No,3,5,5,10,12,1,13,8,579,-1.479711721,16.454085111237763
CUST_0206,Ciclope,Yes,7,3,9,7,6,5,20,8,604,0.1861301776552701,7.252269527296448
CUST_0207,Ciclope,No,6,5,10,39,17,7,14,4,996,-0.215296591,2.6489521704121803
CUST_0208,Yeti,No,6,3,10,81,18,3,4,9,137,-0.719159255,1.9507748515728616
CUST_0209,Ciclope,Yes,7,3,8,44,19,7,18,5,599,0.3088941130328234,3.783073226132394
CUST_0210,Yeti,Yes,6,6,10,21,13,1,11,8,937,0.6541344140274367,5.258004343138491
CUST_0211,Yeti,Yes,3,4,9,19,18,1,4,8,50,-1.15951791,5.746400382026385
CUST_0212,Griffin,Yes,5,5,1,17,8,1,12,3,50,-0.796447262,3.5220962555367263
CUST_0213,Ciclope,Yes,5,7,5,1,17,9,1,3,918,1.1256573584293417,12.382254736452197
CUST_0214,Ciclope,Yes,5,6,2,27,18,5,18,6,550,0.018127585,1.6707702623976792
CUST_0215,Dragon,No,8,7,10,9,13,6,14,3,335,-1.936256205,4.109611264947047
CUST_0216,Griffin,No,5,8,9,24,9,2,10,9,759,1.064259050453347,7.563800714
CUST_0217,Griffin,Yes,6,7,4,49,4,1,15,2,964,-1.114785267,1.0796116436174217
CUST_0218,Ciclope,No,6,4,3,12,19,5,17,6,233,0.1876728265356808,1.569970465
CUST_0219,Yeti,Yes,4,3,10,6,9,0,19,6,457,0.5315536283920664,4.769598875797073
CUST_0220,Ciclope,Yes,5,5,4,138,8,9,4,4,643,0.023635933,3.0518454903209213
CUST_0221,Yeti,No,5,5,10,9,9,1,10,6,252,0.9434883166637598,4.264933530535385
CUST_0222,Unicorn,No,6,5,9,9,16,3,19,4,454,1.3763741308681563,0.080275962
CUST_0223,Yeti,Yes,5,3,4,7,9,2,11,6,406,-1.21308843,3.629108292525713
CUST_0224,Griffin,No,7,2,3,16,16,3,2,7,329,0.8430181489103271,7.462126495221145
CUST_0225,Unicorn,Yes,6,3,1,149,11,3,8,3,761,-0.161810994,2.9874484091159204
CUST_0226,Yeti,Yes,3,7,8,28,15,1,0,10,214,0.001066567,9.315102017
CUST_0227,Ciclope,No,4,4,5,45,18,6,12,5,505,1.5843282388019753,3.727946454724724
CUST_0228,Griffin,Yes,5,6,5,4,9,2,19,2,106,0.4540847813891434,5.706566969768562
CUST_0229,Dragon,Yes,6,6,1,11,16,5,15,7,642,-0.014283489,3.3025981380740523
CUST_0230,Dragon,Yes,3,3,5,3,15,8,3,0,734,-0.375685532,1.932189669360996
CUST_0231,Dragon,No,4,5,5,44,4,9,8,3,453,-0.509357748,1.4483118311061138
CUST_0232,Yeti,Yes,5,5,10,32,12,1,4,5,275,0.066603446,6.616094227393913
CUST_0233,Griffin,Yes,2,4,1,19,10,2,17,3,834,1.3274982457786433,2.218854978956381
CUST_0234,Dragon,Yes,1,5,8,15,1,7,10,4,673,-1.441208671,1.4120648572390655
CUST_0235,Yeti,Yes,4,4,2,20,5,1,20,8,801,-1.254623141,5.197065636256937
CUST_0236,Yeti,No,9,6,2,17,12,2,19,6,555,0.2866848655460903,0.8277059817304522
CUST_0237,Dragon,Yes,5,3,4,198,18,9,20,2,793,-0.693271769,2.0440227299654143
CUST_0238,Yeti,Yes,4,9,8,54,14,3,17,7,650,1.660066491345289,0.9766829919418188
CUST_0239,Ciclope,Yes,6,1,3,12,11,5,8,7,553,-0.582316556,12.621872102658648
CUST_0240,Griffin,Yes,3,3,5,6,7,2,5,0,793,0.1575988826955968,4.091761212
CUST_0241,Dragon,No,4,2,6,4,14,6,0,3,444,-1.054356385,2.1580812494772137
CUST_0242,Unicorn,Yes,5,6,7,23,14,1,2,1,594,0.2499544831778748,9.349669967
CUST_0243,Griffin,No,3,4,10,5,17,2,10,3,523,-1.201410772,0.9929894038169808
CUST_0244,Unicorn,Yes,6,9,10,29,8,0,2,5,538,0.2172998764576906,1.7513143780816842
CUST_0245,Dragon,Yes,5,5,6,6,7,7,19,4,258,-0.547683917,3.703168983
CUST_0246,Dragon,Yes,6,6,5,5,9,8,3,8,574,0.2403939818105377,3.608001041859288
CUST_0247,Dragon,No,2,2,4,20,1,5,15,4,538,0.3628423289952963,4.893503725153344
CUST_0248,Yeti,Yes,6,4,1,9,13,3,19,9,587,-1.092488964,2.467476877638212
CUST_0249,Yeti,Yes,3,3,9,29,5,0,4,3,446,0.9314362577023086,1.272343721420078
CUST_0250,Dragon,Yes,5,4,3,105,14,7,8,5,452,0.5266415524607897,6.849159106960975
CUST_0251,Yeti,Yes,5,6,6,17,6,3,6,7,716,1.013564970818109,0.9327063815767038
CUST_0252,Griffin,No,9,9,10,19,15,3,19,4,777,-0.974253965,4.600480399075375
CUST_0253,Yeti,No,4,2,8,10,18,0,6,6,419,0.973998628,1.194633037883397
CUST_0254,Yeti,No,3,5,8,4,6,3,14,9,50,0.1714143932663227,14.887765037136829
CUST_0255,Unicorn,No,7,6,2,25,13,3,1,5,205,-2.191531116,2.4484498800256738
CUST_0256,Griffin,No,6,6,8,12,5,3,0,1,581,0.5053140524018953,6.257806454820174
CUST_0257,Yeti,No,2,5,1,7,20,3,11,10,592,0.4484740278369283,1.9224437147598288
CUST_0258,Dragon,Yes,6,4,10,26,15,9,9,3,492,1.914994907366984,10.79532662507266
CUST_0259,Ciclope,Yes,4,5,9,10,2,5,2,1,274,0.1565353559207589,1.7858987122207048
CUST_0260,Unicorn,Yes,2,8,10,25,16,3,9,5,309,-0.007310529,3.0464818690739315
CUST_0261,Yeti,No,3,5,4,3,10,0,3,6,639,-0.840604206,2.3318645530080144
CUST_0262,Unicorn,No,7,5,1,32,15,3,13,5,339,-0.148832784,5.822521206895881
CUST_0263,Dragon,Yes,3,7,6,48,13,7,12,5,50,0.460414269,8.282101586
CUST_0264,Unicorn,Yes,3,5,5,9,4,3,2,4,504,0.077749623,0.8215531684907983
CUST_0265,Yeti,Yes,3,2,9,28,2,1,0,6,954,0.2783354570420058,3.620410214584221
CUST_0266,Dragon,Yes,4,5,5,27,7,6,14,4,281,-0.701936676,1.566852769117518
CUST_0267,Dragon,Yes,3,3,5,23,10,8,4,9,712,0.3915804365966059,6.257806454820174
CUST_0268,Yeti,No,2,5,6,3,18,0,14,8,166,0.4946766568340797,2.938525294552925
CUST_0269,Griffin,No,1,4,6,18,16,0,9,5,55,-1.353304936,7.536985675715655
CUST_0270,Unicorn,Yes,6,5,10,13,18,0,6,6,609,-1.230752765,0.2041918651064683
CUST_0271,Griffin,Yes,3,6,8,3,11,3,12,3,69,1.2722780560671396,5.637212301068515
CUST_0272,Dragon,No,3,4,10,23,11,5,13,4,220,-2.175705977,0.7247021855825744
CUST_0273,Griffin,No,8,8,1,140,12,0,13,4,746,-0.956536119,0.4715030087123545
CUST_0274,Griffin,Yes,5,8,7,28,3,3,13,6,773,-0.084593955,5.5863220441272325
CUST_0275,Yeti,No,3,4,8,15,14,2,7,6,269,-0.769749473,4.0643472976795065
CUST_0276,Ciclope,No,6,6,3,46,9,5,2,5,724,1.4107809358825656,2.087617425729174
CUST_0277,Yeti,Yes,6,6,8,8,19,3,9,6,589,0.2601013851800948,5.730559497715533
CUST_0278,Dragon,No,2,6,5,82,10,9,8,4,315,1.383059906,3.104332098
