customer_id,creature_type,flight_status,dance_disaster_rating,ticklish_level,eyesight,age,number_of_policies,fire_power_level,soda_likeness_rate,snack_obsession,creature_cost,hearing_score,rage_outburst_score,risk
C9301T,Yeti,Yes,3,4,2,54,16,3,3,7,302,0.328472336,5.492040516,1
C4299Z,Griffin,No,8,2,9,39,9,0,18,6,132,-0.057214893,2.038899832,1
C4697I,Ciclope,No,1,7,1,139,4,5,13,6,596,-0.754637276,5.720571961,0
C9148J,Dragon,Yes,4,1,1,33,2,8,2,7,939,-0.181742121,1.719996313,0
C1687M,Unicorn,Yes,8,6,1,39,,1,5,7,690,-0.883588621,1.412020829,1
C8160E,Unicorn,Yes,10,5,10,9,2,1,5,6,50,0.63388923,10.46564457,0
C5166D,Dragon,Yes,5,6,2,15,13,7,11,7,883,-0.157544022,16.45408511,0
C7177M,Dragon,Yes,3,9,10,13,16,8,16,5,440,1.061233443,3.220243863,0
C3971F,Ciclope,Yes,4,2,6,13,1,5,19,2,547,-0.618099122,6.502648251,0
C6079R,Griffin,No,6,2,10,29,,1,10,3,540,-1.181884152,5.462433145,0
C9461L,,Yes,5,5,7,15,2,0,1,7,384,0.066005592,8.413150044,0
C2446V,Unicorn,Yes,10,2,10,35,,2,7,1,860,-1.042961037,1.911645521,0
C6667S,Unicorn,Yes,6,6,10,24,10,0,11,6,344,0.668719357,5.619821311,0
C1874I,Unicorn,Yes,6,4,7,1,,3,11,5,334,0.943549114,1.583547575,1
C7909V,Dragon,Yes,4,7,9,9,7,5,9,2,437,-0.248901649,3.308724487,0
C4916U,Griffin,No,5,4,7,14,,2,7,6,440,-0.376656994,0.837196327,0
C8574K,Griffin,Yes,3,4,5,29,9,0,15,6,584,0.103863965,3.968137687,0
C9081H,Yeti,Yes,1,6,6,6,2,0,3,6,841,-2.877424072,3.374457716,0
C3155R,Ciclope,No,5,3,2,13,13,7,12,7,50,-0.501819415,3.125525406,1
C6730D,Unicorn,Yes,2,6,6,40,12,0,1,7,598,0.372002106,6.34805374,1
C8493F,Dragon,Yes,4,5,5,17,1,6,10,5,541,0.505998963,2.33807049,1
C8243A,Griffin,Yes,6,6,1,48,14,0,10,6,1158,-0.087739141,3.724169304,1
C8170U,Griffin,No,3,4,1,38,6,3,2,7,50,0.806121281,3.837674289,0
C8022R,Griffin,No,3,3,4,8,14,3,14,4,251,0.329363165,1.989660302,0
C5243S,Ciclope,No,2,4,3,19,8,8,7,5,136,0.741005047,2.779669791,0
C3493U,Yeti,Yes,9,4,10,11,4,3,7,6,626,0.686336871,4.400815835,0
C6000L,Yeti,Yes,8,6,5,24,19,3,11,6,666,-0.182700248,0.90443527,1
C5549O,Unicorn,No,6,9,2,22,2,3,13,7,1002,1.064155814,1.852793952,0
C1335D,Unicorn,No,5,6,4,66,,0,12,5,86,-1.33979096,4.650867874,1
C3209C,,Yes,8,1,2,17,15,2,1,4,153,0.748143503,1.539201444,1
C4956R,Ciclope,No,4,8,7,2,5,5,11,3,850,-0.409892695,1.944013501,0
C6889M,Ciclope,No,3,4,10,29,,5,7,8,617,1.406089844,4.765302032,0
C8694O,Ciclope,No,4,7,3,34,18,5,18,1,667,-0.602878891,1.842930717,0
C1712T,Ciclope,Yes,5,5,9,26,11,5,1,5,367,0.893164097,5.023191979,0
C6170Q,Ciclope,Yes,6,2,6,8,10,9,1,4,129,-0.610725753,3.764861689,0
C6087O,Griffin,No,9,4,4,15,20,3,18,6,674,-1.198375287,6.404351268,1
C1815O,Ciclope,Yes,4,4,2,28,15,6,15,4,86,0.627639778,7.093320433,1
C8153H,Dragon,Yes,6,7,3,15,12,9,18,3,295,-1.93105543,6.592634653,1
C6424A,Dragon,No,5,4,7,28,15,5,5,5,267,1.025263592,2.304632217,1
C4127L,Unicorn,Yes,5,7,7,121,6,1,10,5,50,-0.336216778,1.769284323,0
C9843F,Dragon,No,5,1,9,37,5,9,19,5,263,-0.43904933,3.962571426,1
C3488K,Yeti,Yes,4,4,6,7,2,3,20,5,848,-1.037225494,3.390354715,0
C9932W,Griffin,Yes,5,1,9,5,1,0,8,3,684,0.509847019,0.471157445,0
C1312G,Griffin,No,6,2,6,21,,1,19,7,660,0.291628567,4.326545446,1
C8394B,Unicorn,Yes,8,8,8,7,13,3,15,6,318,0.415526434,3.213597205,1
C8700H,Dragon,Yes,2,6,4,78,13,6,19,3,50,-0.36707547,0.39408023,1
C9257H,Yeti,No,2,7,6,4,16,3,16,6,459,-0.028913987,2.928022956,1
C4908R,Yeti,No,6,3,3,18,6,0,18,3,465,-1.480070364,6.532408102,1
C2136O,Ciclope,Yes,7,4,9,70,5,5,13,5,50,-0.117361847,0.698594002,1
C5544U,Yeti,Yes,9,6,7,6,12,0,11,3,291,-1.555230368,0.789150949,0
C9963R,Griffin,No,4,2,2,11,13,1,4,7,373,-0.961756067,2.202918492,1
C4682K,Unicorn,No,3,4,4,41,,2,0,5,471,0.556271548,6.951846361,0
C4761V,Unicorn,Yes,6,5,8,58,,2,17,3,50,0.298449812,3.576963323,1
C3890E,Yeti,No,4,5,5,54,11,0,9,4,452,1.848595716,2.472106015,0
C4008A,Yeti,No,6,3,3,51,9,1,12,7,689,-1.754156734,4.900335828,0
C1955C,Dragon,Yes,1,6,9,17,11,6,6,2,451,0.723052247,3.164743314,0
C7943S,Yeti,Yes,6,3,3,8,10,3,2,8,74,1.316530302,1.359920331,1
C7270M,Ciclope,No,3,6,7,14,,5,13,6,624,0.788021816,8.367133194,0
C7452E,Dragon,No,6,6,2,7,9,7,0,5,516,0.675983177,3.307191943,1
C9104N,Griffin,Yes,4,7,7,25,9,3,9,8,309,-0.147490187,1.633182152,0
C9441D,Dragon,Yes,4,3,2,7,,6,17,9,487,-1.405089772,0.722337021,0
C5475S,Griffin,Yes,5,4,3,8,7,2,9,6,471,0.574173799,2.099070464,0
C5460L,Ciclope,Yes,2,3,10,14,9,6,1,8,400,2.422727758,2.677523724,0
C2495J,Yeti,Yes,6,6,9,128,3,3,20,7,408,1.230987255,2.815897746,0
C3148H,Unicorn,No,6,6,1,11,13,0,17,6,427,-1.866599238,3.99542006,0
C7152Q,Unicorn,Yes,3,7,3,10,12,0,19,1,438,0.352904969,2.23741327,0
C6464J,Griffin,No,3,2,3,6,,3,15,4,724,-1.529856115,5.919130271,0
C9636C,Ciclope,No,7,3,1,178,,9,4,4,516,-0.676584937,4.083359835,1
C4082D,Griffin,No,6,2,8,138,3,0,10,3,429,1.308455048,10.65327584,1
C4050Z,Dragon,Yes,8,4,7,17,14,6,5,6,585,0.227014438,1.208637703,0
C4296X,Dragon,Yes,1,6,2,13,14,8,17,4,592,0.835882978,5.703872168,0
C5455S,Yeti,Yes,2,3,1,48,15,3,15,6,547,0.09674634,3.283562702,1
C5116G,Unicorn,No,6,7,7,33,7,0,4,4,368,-1.019312865,4.38624015,1
C7877Z,Yeti,Yes,7,4,1,13,5,2,17,5,641,-0.965869911,5.023518638,0
C3371U,Unicorn,No,4,7,6,56,,3,13,5,936,-0.122162336,0.493229946,1
C3349S,Dragon,No,9,5,8,7,5,5,13,6,806,1.832932693,6.46157599,1
C8100L,Dragon,Yes,4,5,2,18,3,6,20,8,444,-0.364177866,2.974898415,0
C7631H,Griffin,No,5,6,1,25,10,3,4,3,50,0.208993181,5.181004837,0
C1713C,Ciclope,Yes,5,5,2,3,12,5,4,3,629,-0.270226568,1.406144154,0
C5022X,Yeti,No,6,2,8,30,16,3,16,8,258,0.765194743,4.422127134,0
C2148L,Dragon,No,7,3,8,44,17,5,3,6,557,0.281296485,1.9459893,1
C7335F,Dragon,Yes,5,2,3,6,9,5,9,6,521,-1.167838237,3.731180902,1
C7493H,Yeti,Yes,2,2,10,6,,0,1,9,896,0.785582543,0.703563736,0
C8277P,Yeti,Yes,5,4,9,57,2,2,3,7,50,0.510119094,4.086985916,0
C5921E,Yeti,Yes,8,5,1,4,12,1,9,6,123,-0.903774034,8.810752252,1
C5168W,Dragon,Yes,6,7,4,23,7,6,11,7,483,-0.022574234,4.407713258,0
C1175T,Unicorn,No,5,3,1,6,5,0,15,7,50,-0.667573158,3.386032466,0
C5434S,Griffin,Yes,4,6,10,10,16,1,0,4,50,-0.337364292,4.052321617,0
C6969L,Unicorn,No,5,3,3,20,13,0,0,6,422,-3.96E-05,3.781185028,1
C3777Q,Griffin,No,6,4,10,8,4,1,1,7,777,0.255917519,5.100348768,0
C2261P,Dragon,No,6,5,6,34,17,8,0,4,50,1.038682084,1.708258507,1
C1852Q,Dragon,Yes,3,6,10,20,20,5,12,7,431,0.518234915,6.843249994,1
C6658C,Unicorn,Yes,6,6,4,3,5,0,19,6,764,-0.463239069,3.11496167,0
C7816K,Ciclope,Yes,5,3,7,50,5,5,0,3,347,-0.963276723,8.742837944,0
C8081B,Dragon,Yes,6,7,10,21,3,7,12,3,1021,0.490614691,0.115640537,0
C2614M,Dragon,No,5,3,1,12,15,5,12,4,190,0.656018348,5.935949193,0
C2693I,Yeti,No,7,2,1,89,13,1,1,7,729,1.307297814,3.777797043,1
C6944D,Yeti,No,4,7,9,48,10,1,15,3,552,-1.853263573,6.303228122,0
C7098C,Griffin,Yes,3,3,10,32,,2,10,5,511,-0.631706505,3.987013954,1
C2576P,Unicorn,Yes,3,4,10,18,17,0,17,6,645,-1.210676996,3.107355565,1
C8140E,Dragon,Yes,5,7,3,70,1,5,13,4,346,0.325417891,1.612309307,0
C3699Y,Ciclope,Yes,5,4,10,55,20,5,14,3,533,1.113825094,6.876704431,1
C9906P,Dragon,Yes,6,9,10,130,3,8,20,6,348,-0.281004932,3.784277429,0
C5022J,Yeti,No,3,7,9,31,13,1,19,6,248,1.299548779,3.852529328,0
C6511P,Dragon,Yes,3,6,8,58,3,5,14,5,264,-0.701117202,4.484693171,0
C3652A,Yeti,Yes,3,5,4,38,4,3,7,6,814,0.778339425,9.792715799,1
C2363Y,Ciclope,Yes,7,4,5,32,1,8,12,1,534,0.258512898,3.148936267,0
C4762M,Unicorn,Yes,1,6,2,11,9,1,0,4,434,-1.273008408,4.408449815,0
C5203U,Ciclope,Yes,4,6,6,43,3,5,8,7,1091,-0.643427742,6.219912438,0
C1584C,Dragon,No,8,4,1,22,,5,17,4,474,0.729687947,2.547145652,1
C3482M,Unicorn,Yes,6,2,5,5,10,3,11,3,557,1.952006574,5.765262054,1
C7039M,Dragon,No,6,5,10,13,20,8,8,3,305,-0.818944404,6.422101522,1
C4970Y,Griffin,Yes,3,5,4,68,,3,0,7,497,-0.259314046,3.736213265,1
C2449O,Unicorn,No,3,7,1,8,19,2,18,3,368,0.814200174,0.376440161,1
C5879M,Yeti,Yes,6,2,7,10,12,2,10,7,292,0.355149562,4.096257522,0
C8267G,Griffin,Yes,6,9,8,12,5,2,14,6,323,0.235164115,5.285925965,0
C9583I,Ciclope,No,3,4,4,13,17,7,3,5,582,-0.600965977,4.097152307,1
C5904N,Griffin,Yes,4,5,4,6,,1,2,6,577,-1.231618363,1.046047736,1
C8647L,Yeti,Yes,6,4,8,8,14,3,14,10,111,-1.851552152,1.903410561,0
C3560A,Ciclope,Yes,3,6,10,17,8,5,20,3,50,-1.635051765,2.693666564,0
C4272V,Yeti,No,2,2,10,81,3,3,8,6,952,0.763063946,0.193097328,0
C1089X,Ciclope,No,3,6,8,11,3,9,17,4,333,-1.007271791,3.971401532,0
C5884D,Yeti,No,7,3,3,82,7,3,14,4,559,0.5784354,1.676126291,1
C3719O,Unicorn,No,6,7,6,32,18,3,9,4,534,-0.53704188,9.840908518,1
C3840C,Unicorn,No,9,3,10,17,,1,7,2,606,-0.67137818,2.538859123,1
C6993R,Unicorn,Yes,6,4,10,54,7,1,11,9,332,-0.017176714,10.2318316,0
C2069H,Ciclope,Yes,7,4,6,90,3,5,5,5,884,-1.63696365,0.810103863,0
C3194R,Dragon,Yes,3,5,10,23,18,5,10,3,628,-0.643472992,2.724685214,1
C7571S,Griffin,No,6,4,6,18,1,1,1,5,243,-2.397742934,1.397329882,0
C9447T,Griffin,No,4,4,4,43,20,2,20,2,686,-1.381421866,3.680205431,0
C3885C,Dragon,Yes,9,4,3,11,12,5,7,7,373,-0.669094843,3.937664554,1
C6531X,Dragon,Yes,7,5,9,8,11,5,1,4,232,0.521075955,2.67873646,1
C9775F,Ciclope,Yes,4,3,8,111,1,5,5,6,224,0.303356751,1.872191398,0
C3127A,Ciclope,Yes,6,4,7,23,7,6,10,9,50,1.024351824,3.237726168,0
C2271O,Unicorn,No,4,8,8,25,18,1,16,7,760,-1.679905594,3.913933431,0
C5920J,Griffin,Yes,1,2,10,17,15,0,13,5,550,-1.757924698,5.055882346,1
C3789V,Unicorn,Yes,6,5,6,56,14,0,1,7,929,0.739749413,5.854834924,1
C5139V,Ciclope,Yes,5,4,2,27,9,5,19,7,559,-1.061703686,3.783360795,1
C9667I,Yeti,No,5,8,8,63,15,3,11,9,97,-1.256385288,3.787834878,1
C2824Y,Dragon,No,6,5,5,92,14,6,9,2,442,-1.665225529,0.553293406,1
C6712H,Yeti,No,8,4,1,27,,3,17,9,572,0.170952452,2.901988729,0
C6596N,Unicorn,No,7,4,1,23,17,0,4,3,809,-0.552152047,0.385857306,1
C9148G,Unicorn,No,1,5,1,56,,0,9,7,457,-0.104915035,0.569681054,0
C9921Y,Unicorn,Yes,4,7,8,13,12,1,10,2,653,0.376013022,1.816595482,0
C2626E,Dragon,No,7,3,9,68,12,5,1,2,924,0.107558824,5.527456544,1
C5797B,Ciclope,No,6,8,1,11,1,9,6,6,738,0.587652937,1.475254298,0
C3688L,Griffin,Yes,2,5,10,8,6,1,7,1,87,-0.410648984,5.383627735,0
C9723Z,Dragon,Yes,5,5,3,55,10,5,13,7,161,1.373870754,20.14473304,1
C2363X,Yeti,No,4,3,10,44,2,1,2,8,656,0.026754429,2.15374643,0
C1818T,Yeti,Yes,6,2,1,32,18,1,11,8,759,-0.287662763,3.385458928,1
C8609X,Griffin,No,5,6,10,40,4,0,20,4,543,-0.000220649,0.7764982,0
C3010X,Griffin,No,5,5,6,14,6,1,1,5,232,1.068934891,1.598078368,0
C2043N,Ciclope,No,3,3,6,14,8,9,2,6,486,-0.25816925,5.996353191,0
C5225I,Yeti,No,5,8,1,65,18,2,4,9,686,-0.693506646,6.499394836,1
C1199U,Unicorn,No,8,7,10,96,,1,8,6,1026,0.228975569,4.97564047,1
C4019R,Yeti,Yes,5,5,1,11,17,0,8,6,50,-0.547926827,12.70821203,1
C4691J,Ciclope,No,5,7,3,15,10,9,0,6,711,-0.173923747,9.091740779,1
C8975C,Yeti,Yes,5,3,3,16,,3,20,4,351,0.670936911,4.409747156,1
C7628T,Unicorn,Yes,2,7,1,32,,1,17,3,50,-1.261736964,4.148436231,0
C4419G,Unicorn,Yes,5,4,8,7,,0,15,6,610,0.347637008,3.053367146,0
C1047Y,Dragon,No,9,7,4,13,,5,13,5,50,-1.499974694,2.232899232,1
C9528G,Dragon,Yes,7,3,9,75,,8,4,0,510,-1.945740934,1.019232974,1
C1287D,Griffin,Yes,5,5,1,4,18,0,18,3,546,1.225344981,6.060483754,1
C1608V,Griffin,Yes,5,2,2,10,1,2,17,5,554,1.369836313,2.091936476,0
C9026D,Yeti,Yes,3,4,9,9,2,0,3,5,125,0.366194785,5.34249333,0
C7719E,Unicorn,No,4,8,5,6,19,0,14,6,211,1.090309669,1.528173423,1
C4304P,Griffin,Yes,5,2,7,15,8,3,13,7,595,-0.747780378,5.107071479,0
C7478W,Yeti,No,4,5,10,7,8,1,10,6,466,-0.66425108,5.202816774,0
C1403F,Griffin,Yes,9,5,7,22,,2,7,3,387,0.344575129,5.001334116,1
C3524I,Yeti,No,5,8,6,10,10,3,2,6,879,-0.286394484,5.712043093,1
C9981U,Yeti,Yes,4,7,10,34,13,0,2,4,878,-0.597307159,1.297596693,0
C3883Z,Dragon,Yes,4,3,10,13,19,9,3,8,169,0.577346574,15.6529927,1
C5493N,Yeti,Yes,0,5,5,10,13,1,4,6,552,0.155707519,3.602286039,1
C4902D,Dragon,Yes,7,3,10,6,,5,10,6,464,-0.67090569,1.626880232,1
C9408A,Griffin,Yes,4,9,9,8,13,3,18,3,716,-0.089933794,1.744835754,0
C2568F,Unicorn,Yes,0,5,6,5,4,1,4,7,817,-0.12453669,0.40784062,0
C3513D,Unicorn,No,6,5,6,24,20,1,0,4,303,2.757449322,4.736024624,1
C1161R,Dragon,Yes,5,5,1,17,20,7,3,9,480,-0.37123386,4.728442954,1
C9722D,Griffin,Yes,5,4,2,26,9,1,0,7,915,-1.380549905,2.254680279,1
C3668N,Yeti,Yes,6,5,3,30,8,0,19,2,488,-0.646922077,6.716521648,1
C9346S,Unicorn,Yes,4,8,8,32,15,3,14,2,50,0.305700495,2.098345352,1
C7894P,Dragon,No,3,4,2,11,18,8,18,6,144,-0.363583028,3.376549053,1
C4752F,Unicorn,No,4,4,3,11,17,3,0,7,777,0.41754306,2.519869557,1
C8777U,Dragon,Yes,6,5,4,50,20,9,7,6,50,0.462089378,1.096169125,1
C1225S,Dragon,Yes,3,3,1,54,16,9,14,4,999,-0.883993213,7.784683507,1
C1759T,Yeti,Yes,3,3,4,4,20,3,0,9,580,-0.918899331,7.589988984,1
C8432D,Unicorn,Yes,5,8,6,12,6,1,4,5,455,0.79935255,8.591585568,0
C4904D,Yeti,Yes,4,7,10,15,4,3,8,6,895,-2.203008333,1.292501545,0
C6104Y,,Yes,5,4,7,12,,6,17,5,445,1.347912142,2.513659629,0
C1727K,Griffin,Yes,6,4,3,9,1,3,1,6,50,0.74428409,9.729016166,0
C9757H,Yeti,Yes,7,4,8,49,,0,8,7,800,0.529893349,2.387134577,1
C2189M,Griffin,Yes,5,7,4,50,10,3,8,2,335,0.992810928,3.517800318,1
C5574R,Griffin,Yes,0,6,6,14,2,2,0,3,1145,0.391919024,4.886374338,0
C3823Y,Ciclope,Yes,2,3,6,11,17,6,8,4,169,-1.898825305,6.894533682,1
C5688H,Unicorn,Yes,5,5,5,16,2,0,1,7,273,-0.871872444,6.406413569,0
C9641Y,Ciclope,Yes,7,3,3,4,5,7,3,4,811,-0.678819733,1.155188337,1
C5491A,Ciclope,No,2,3,10,72,20,5,9,6,137,-0.540876611,3.294108774,1
C6371O,Ciclope,No,7,3,4,9,8,7,18,6,335,0.616848592,4.28147035,0
C2333Q,Ciclope,No,5,5,2,6,5,7,20,4,342,-0.183238476,1.756745933,0
C8566C,Yeti,No,7,8,3,5,,2,7,9,628,0.992040429,0.493447194,0
C7509D,Ciclope,No,5,2,1,30,10,6,0,3,632,1.863783412,3.495336474,1
C7738K,Yeti,Yes,7,6,10,53,11,2,8,6,762,2.209715521,8.944624415,0
C1058Z,Dragon,No,5,3,10,21,14,5,5,6,848,-1.367503668,14.70276943,1
C2493P,Griffin,Yes,2,4,2,17,5,1,18,8,372,-1.764796417,3.870012857,0
C2633Y,Yeti,Yes,4,4,10,4,4,3,1,9,380,0.359193405,4.85567006,0
C7644U,Griffin,Yes,4,5,9,56,5,0,14,10,671,1.243009145,4.412463304,1
C4888M,Yeti,Yes,3,7,8,23,20,2,8,5,692,-0.190014006,2.360542341,1
C6708U,Ciclope,Yes,5,2,6,16,,9,18,3,572,-1.009395062,1.119764025,0
C8621A,Dragon,Yes,7,3,10,18,4,9,15,6,440,0.344515501,4.904199349,0
C6971C,Griffin,No,6,6,10,57,3,1,14,0,759,-2.385877977,1.427447161,0
C3591V,Ciclope,Yes,4,7,2,33,9,5,7,5,229,0.581369356,4.18598058,1
C3254U,Dragon,No,4,8,1,12,16,7,11,6,863,0.640131839,1.985048914,1
C5166G,Yeti,No,4,7,2,32,11,3,6,5,604,-2.513814131,1.928794608,1
C4007N,Griffin,No,2,9,10,163,,1,16,3,871,0.749750951,1.195918553,0
C7885P,Ciclope,Yes,5,6,10,119,16,7,6,3,599,2.108959969,5.20455708,1
C9398W,Ciclope,Yes,0,5,4,21,17,5,4,0,739,1.187143283,2.366404446,1
C7779P,Dragon,No,4,4,10,4,16,8,19,2,1023,-1.468036145,2.570481333,1
C3608K,Unicorn,Yes,2,5,8,28,8,2,12,6,560,-1.550290312,3.857319217,0
C2069J,Yeti,Yes,3,7,6,17,13,2,13,4,278,0.899451492,8.57669987,1
C9337L,Dragon,Yes,7,2,5,22,,8,13,4,556,0.801853823,6.221227222,1
C2023Q,Griffin,No,6,5,10,30,9,3,15,5,624,-0.646694496,1.342657303,0
C9662W,Unicorn,No,9,3,6,11,20,3,1,8,322,-0.7466942,3.876082273,1
C3466L,Ciclope,No,8,6,4,6,2,7,12,3,390,0.049691923,4.821908137,0
C5778G,Yeti,Yes,1,7,1,15,19,1,4,2,179,-1.399103696,1.362617737,1
C3417G,Ciclope,No,3,9,10,65,,5,2,8,940,-0.4438905,1.426339137,0
C9950T,Dragon,Yes,4,6,5,32,10,5,18,0,228,-0.192901811,2.617508763,1
C8566V,Ciclope,Yes,3,6,8,7,6,6,9,4,69,-0.208614777,9.48042709,0
C9631C,Yeti,Yes,4,4,5,55,20,3,2,9,480,2.071083842,0.614087548,1
C8933B,Ciclope,Yes,7,5,2,75,17,5,19,6,280,-0.175288545,2.665187925,1
C5278P,Yeti,Yes,4,5,4,13,5,2,9,9,444,-0.906576732,2.233305902,0
C4220D,Ciclope,No,4,8,9,5,1,6,1,6,314,2.267681199,6.834049685,0
C2730V,Dragon,Yes,4,5,8,46,15,6,16,6,1047,-1.859552914,2.820622058,1
C3868I,Dragon,Yes,5,3,9,31,7,6,7,5,50,-0.107071194,10.32365883,0
C9309D,Ciclope,Yes,7,5,2,9,,9,7,1,930,-0.746270836,7.557786953,1
C9236X,Dragon,Yes,6,4,4,18,,9,0,6,642,-3.351237518,2.409787262,1
C6386E,Yeti,Yes,10,8,4,6,13,3,20,7,772,-0.335186971,3.709239017,0
C2402H,Ciclope,Yes,3,7,3,12,8,5,20,6,50,-0.561212179,6.023364748,0
C6196D,Yeti,No,3,2,7,59,11,2,6,6,142,-0.476834917,1.122929054,1
C5100D,Ciclope,No,4,8,4,24,6,6,0,7,188,-0.393297692,3.829913135,0
C5862A,Ciclope,No,5,6,9,7,4,5,4,4,667,-2.304062949,0.778168913,0
C7380B,Griffin,No,2,5,1,43,12,1,0,3,1137,-1.109489601,10.15802486,1
C2753E,Griffin,Yes,5,5,6,8,19,0,15,8,381,-1.002360466,11.59286697,1
C8478B,Dragon,Yes,4,6,4,13,,9,16,7,577,-0.329782097,7.451923603,1
C4862P,Unicorn,Yes,6,5,3,29,,0,19,7,912,0.851704225,5.457940243,1
C5643R,Dragon,Yes,2,4,4,23,,5,16,4,503,-0.493628573,2.169960369,1
C8227K,Ciclope,Yes,3,5,1,45,3,7,5,4,105,-1.101374691,3.828315148,0
C8453I,Ciclope,Yes,5,2,5,97,15,5,5,5,772,0.391591827,6.07444082,1
C9858N,Yeti,No,9,5,9,4,3,0,5,7,259,-1.019368821,3.293839227,1
C7623W,Unicorn,Yes,4,5,10,24,10,3,8,4,50,-0.945733964,1.028378824,0
C8133W,Ciclope,No,4,4,7,36,4,9,20,7,260,-1.637652069,3.357011894,0
C5828B,Dragon,No,7,5,4,23,19,9,15,3,843,-0.989191582,2.314308265,1
C5437E,Dragon,Yes,6,7,10,6,3,5,12,3,50,0.755620216,2.81184882,0
C9001G,Unicorn,No,5,7,9,50,2,2,11,5,217,0.220090797,5.362953026,0
C3052G,Ciclope,Yes,8,4,3,67,19,6,18,4,397,-0.042287457,3.409873031,1
C6782O,Dragon,Yes,3,3,3,52,8,6,18,4,325,-0.725235556,5.364921702,0
C9538K,Dragon,Yes,6,7,4,133,3,8,10,5,676,0.504855324,3.54571844,1
C3540B,Dragon,No,4,3,3,10,12,6,2,6,772,0.552271394,1.174051835,0
C1063J,Dragon,No,7,4,4,65,7,8,11,4,473,-1.311530182,3.037472805,1
C9331N,Unicorn,Yes,4,6,1,36,2,3,18,7,759,-0.575463743,3.122145419,0
C9041C,Yeti,No,4,2,8,5,14,2,13,8,506,-0.092567133,6.445625044,1
C1839V,Ciclope,Yes,5,7,3,21,,5,8,5,1093,0.588539042,11.44702883,1
C1960B,Ciclope,Yes,7,6,9,15,17,5,12,3,785,-0.625343164,1.105748904,1
C4636Y,Yeti,No,0,2,8,253,17,2,1,6,653,-0.863453891,2.965771758,1
C7203C,Unicorn,Yes,7,8,3,3,12,2,18,2,850,-1.565611008,1.076381587,0
C8533V,Dragon,Yes,4,6,3,16,,9,1,4,766,-0.284805919,4.754241492,0
C8205X,Yeti,Yes,3,6,7,71,13,3,19,7,522,0.707202757,0.692923368,0
C3158Z,Unicorn,Yes,1,2,3,21,10,2,18,3,766,-0.322787944,8.02008172,0
C3885U,Griffin,Yes,3,2,7,19,9,3,7,4,378,1.502045736,1.268346518,0
C6213U,Yeti,No,7,4,10,6,4,3,8,6,177,-0.355068398,3.044067465,0
